Id	Date	Open	High	Low	Close	Volume	SMA (5 days)	SMA (10 days)	SMA (30 days)	SMA 5 > SMA 10	SMA 10 > SMA 30	SMA 5>SMA 30	SMA 5 > SMA 10 > SMA 30	Close Higher
1	2/25/2005	104.77	106	104.68	105.79	70221808				0	0	0	0	1
2	2/28/2005	105.55	105.68	104.56	105.08	79695344				0	0	0	0	0
3	3/1/2005	105.22	105.87	105.22	105.62	54607412				0	0	0	0	1
4	3/2/2005	105.21	106.22	105.1	105.57	73733090				0	0	0	0	1
5	3/3/2005	105.99	106.2	105.15	105.61	71286823	105.534			0	0	1	0	0
6	3/4/2005	106.31	107.01	106.1	106.93	64483624	105.762			0	0	1	0	1
7	3/7/2005	106.86	107.38	106.62	106.97	50288014	106.14			0	0	1	0	1
8	3/8/2005	106.87	107.15	106.36	106.55	51274973	106.326			0	0	1	0	0
9	3/9/2005	106.25	106.52	105.38	105.39	84491113	106.29			0	0	1	0	0
10	3/10/2005	105.4	105.85	104.89	105.62	74962248	106.292	105.913		0	1	1	0	1
12	3/14/2005	104.89	105.56	104.78	105.54	41713280	105.596	105.868		1	1	1	1	1
13	3/15/2005	105.78	105.82	104.6	104.65	71730138	105.216	105.771		1	1	1	1	0
14	3/16/2005	104.27	104.44	103.59	103.77	88074366	104.892	105.591		1	1	1	1	0
15	3/17/2005	103.94	104.31	103.65	103.99	72019178	104.566	105.429		1	1	1	1	1
11	3/11/2005	105.88	106.04	104.66	104.88	66729930	105.882	105.822		0	1	1	0	0
